reads_mapped,causalcall,crf-fast,bonito,rubicon
acinetobacter,4434,4462,4452,4452
haemophilus_haemolyticus_M1C132_1,104,6201,6444,6287
klebsiella_pneumoniae_INF032,15150,15154,15147,15153
klebsiella_pneumoniae_INF042,11236,11276,11252,11268
klebsiella_pneumoniae_KSB2_1B,16642,16818,16744,16783
klebsiella_pneumoniae_NUH29,14954,15160,15056,15113
serratia_marcescens_17,12729,16715,16667,16696
staphylococcus_aureus_CAS38_02_fast5s,11038,11047,11047,11047
stenotrophomonas_maltophilia_17_G_0092_Kos,15946,15997,15959,15980
