bases mapped (cigar),causalcall,crf-fast,bonito,rubicon
acinetobacter,111645586,115027013,109332301,110186000
haemophilus_haemolyticus_M1C132_1,860612,65890824,62358624,60840868
klebsiella_pneumoniae_INF032,537763941,551329523,529297564,534238942
klebsiella_pneumoniae_INF042,536111158,554008193,512028980,519259380
klebsiella_pneumoniae_KSB2_1B,389500940,407231066,374138894,379967880
klebsiella_pneumoniae_NUH29,234419815,242636895,222936956,225603409
serratia_marcescens_17,95552221,129693794,123116549,124385946
staphylococcus_aureus_CAS38_02_fast5s,233407207,240583234,235877349,236525862
stenotrophomonas_maltophilia_17_G_0092_Kos,491376627,501552691,463285574,468844008
